position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,stamp,gripper_state
-0.505229,-0.398099,1.114209,-0.724960,0.091929,-0.071777,0.678845,1116939007.000000,0.145000
-0.505405,-0.398167,1.113594,-0.724919,0.092182,-0.071140,0.678921,1126683046.000000,0.145000
-0.505604,-0.398314,1.112831,-0.724825,0.092687,-0.070473,0.679023,1133632311.000000,0.145000
-0.505634,-0.398350,1.112691,-0.724845,0.092758,-0.070402,0.678999,1135018875.000000,0.145000
-0.505782,-0.398526,1.112006,-0.724946,0.093106,-0.070054,0.678879,1141825278.000000,0.145000
-0.505908,-0.398691,1.111300,-0.725061,0.093508,-0.069568,0.678751,1151723673.000000,0.145000
-0.506017,-0.398882,1.110551,-0.725033,0.094292,-0.068849,0.678746,1159273032.000000,0.145000
-0.506039,-0.398869,1.110458,-0.725059,0.094306,-0.068744,0.678726,1160059978.000000,0.145000
-0.506222,-0.398760,1.109672,-0.725279,0.094422,-0.067861,0.678564,1166721096.000000,0.145000
-0.506306,-0.399078,1.109315,-0.725178,0.094630,-0.068061,0.678623,1175534036.000000,0.145000
-0.506399,-0.399216,1.108651,-0.725352,0.094893,-0.067694,0.678438,1183771884.000000,0.145000
-0.506412,-0.399248,1.108554,-0.725375,0.094946,-0.067665,0.678408,1184979250.000000,0.145000
-0.506487,-0.399433,1.107992,-0.725510,0.095247,-0.067500,0.678239,1191951995.000000,0.145000
-0.506553,-0.399664,1.107362,-0.725719,0.095598,-0.067297,0.677986,1201707174.000000,0.145000
-0.506703,-0.399578,1.106602,-0.726182,0.095608,-0.066658,0.677551,1208378925.000000,0.145000
-0.506860,-0.399444,1.105887,-0.726339,0.095702,-0.065868,0.677447,1217016947.000000,0.145000
-0.506875,-0.399468,1.105787,-0.726372,0.095736,-0.065848,0.677408,1218416740.000000,0.145000
-0.506949,-0.399590,1.105283,-0.726541,0.095910,-0.065749,0.677212,1225462812.000000,0.145000
-0.506953,-0.399627,1.105219,-0.726542,0.095953,-0.065766,0.677204,1226657440.000000,0.145000
-0.506981,-0.399847,1.104850,-0.726547,0.096203,-0.065866,0.677153,1233585873.000000,0.145000
-0.507036,-0.400021,1.104187,-0.726775,0.096602,-0.065658,0.676872,1242352059.000000,0.145000
-0.507049,-0.400020,1.104071,-0.726822,0.096645,-0.065566,0.676824,1243373443.000000,0.145000
-0.507135,-0.400014,1.103302,-0.727138,0.096934,-0.064956,0.676502,1250157102.000000,0.145000
-0.507210,-0.400049,1.102526,-0.727484,0.097230,-0.064408,0.676140,1258883461.000000,0.145000
-0.507223,-0.400038,1.102437,-0.727539,0.097196,-0.064352,0.676091,1260142137.000000,0.145000
-0.507296,-0.399979,1.101945,-0.727839,0.097012,-0.064042,0.675823,1267080480.000000,0.145000
-0.507318,-0.399954,1.101833,-0.727885,0.097006,-0.063939,0.675785,1268405248.000000,0.145000
-0.507436,-0.399817,1.101233,-0.728128,0.096976,-0.063386,0.675579,1275501429.000000,0.145000
-0.507441,-0.399833,1.101184,-0.728145,0.096951,-0.063424,0.675561,1276741792.000000,0.145000
-0.507468,-0.399922,1.100922,-0.728236,0.096814,-0.063628,0.675464,1283501648.000000,0.145000
-0.507477,-0.399938,1.100794,-0.728266,0.096868,-0.063576,0.675428,1285037328.000000,0.145000
-0.507515,-0.400007,1.100239,-0.728400,0.097103,-0.063351,0.675271,1291675392.000000,0.145000
-0.507579,-0.399980,1.099507,-0.728623,0.097245,-0.062952,0.675048,1300538330.000000,0.145000
-0.507629,-0.399975,1.098761,-0.728948,0.097430,-0.062470,0.674715,1309040443.000000,0.145000
-0.507641,-0.399966,1.098661,-0.728976,0.097463,-0.062407,0.674686,1310073902.000000,0.145000
-0.507721,-0.399897,1.097962,-0.729171,0.097692,-0.061968,0.674482,1317311547.000000,0.145000
-0.507732,-0.399882,1.097830,-0.729200,0.097743,-0.061861,0.674453,1318375875.000000,0.145000
-0.507805,-0.399785,1.096957,-0.729388,0.098073,-0.061162,0.674266,1325368777.000000,0.145000
-0.507931,-0.399514,1.095795,-0.729547,0.098547,-0.059713,0.674154,1333829653.000000,0.145000
-0.507938,-0.399506,1.095639,-0.729534,0.098659,-0.059587,0.674163,1335059215.000000,0.145000
-0.507982,-0.399458,1.094712,-0.729456,0.099324,-0.058833,0.674217,1342367871.000000,0.145000
-0.507983,-0.399454,1.094602,-0.729396,0.099408,-0.058738,0.674277,1343375255.000000,0.145000
-0.507991,-0.399424,1.093853,-0.728983,0.099989,-0.058090,0.674694,1350299330.000000,0.145000
-0.507999,-0.399417,1.093631,-0.728952,0.100165,-0.057873,0.674720,1351709415.000000,0.145000
-0.508039,-0.399382,1.092565,-0.728804,0.101010,-0.056829,0.674843,1358492935.000000,0.145000
-0.508114,-0.399256,1.091073,-0.728365,0.102485,-0.054932,0.675251,1366954605.000000,0.145000
-0.508233,-0.398871,1.089929,-0.728195,0.102801,-0.053629,0.675491,1375775704.000000,0.145000
